# STATION: KMLB				
# STATION NAME: Melbourne International Airport				
# LATITUDE: 28.09973				
# LONGITUDE: -80.63560				
# ELEVATION [ft]: 20.0				
# STATE: FL				
Station_ID	Date_Time	air_temp_set_1	dew_point_temperature_set_1	dew_point_temperature_set_1d
		Fahrenheit	Fahrenheit	Fahrenheit
KMLB	09/20/2024 00:00 UTC	78.8		75.2
KMLB	09/20/2024 00:05 UTC	78.8		75.2
KMLB	09/20/2024 00:10 UTC	78.8		75.2
KMLB	09/20/2024 00:15 UTC	78.8		75.2
KMLB	09/20/2024 00:20 UTC	78.8		75.2
KMLB	09/20/2024 00:25 UTC	78.8		75.2
KMLB	09/20/2024 00:30 UTC	78.8		75.2
KMLB	09/20/2024 00:35 UTC	78.8		75.2
KMLB	09/20/2024 00:40 UTC	78.8		75.2
KMLB	09/20/2024 00:45 UTC	78.8		75.2
KMLB	09/20/2024 00:50 UTC	78.8		75.2
KMLB	09/20/2024 00:53 UTC	78.08	75.92	75.92
KMLB	09/20/2024 00:55 UTC	78.8		75.2
KMLB	09/20/2024 01:00 UTC	78.8		75.2
KMLB	09/20/2024 01:05 UTC	78.8		75.2
KMLB	09/20/2024 01:10 UTC	78.8		75.2
KMLB	09/20/2024 01:15 UTC	77		75.2
KMLB	09/20/2024 01:20 UTC	77		75.2
KMLB	09/20/2024 01:25 UTC	77		75.2
KMLB	09/20/2024 01:29 UTC	78.08	75.92	75.92
KMLB	09/20/2024 01:30 UTC	78.8		75.2
KMLB	09/20/2024 01:35 UTC	78.8		75.2
KMLB	09/20/2024 01:40 UTC	78.8		75.2
KMLB	09/20/2024 01:45 UTC	78.8		75.2
KMLB	09/20/2024 01:49 UTC	78.8	75.2	75.2
KMLB	09/20/2024 01:50 UTC	78.8		75.2
KMLB	09/20/2024 01:53 UTC	78.08	75.92	75.92
KMLB	09/20/2024 01:55 UTC	78.8		75.2
KMLB	09/20/2024 02:00 UTC	77		75.2
KMLB	09/20/2024 02:05 UTC	77		75.2
KMLB	09/20/2024 02:10 UTC	77		75.2
KMLB	09/20/2024 02:15 UTC	77		75.2
KMLB	09/20/2024 02:20 UTC	77		75.2
KMLB	09/20/2024 02:25 UTC	77		75.2
KMLB	09/20/2024 02:30 UTC	77		75.2
KMLB	09/20/2024 02:35 UTC	77		75.2
KMLB	09/20/2024 02:40 UTC	77		75.2
KMLB	09/20/2024 02:45 UTC	78.8		75.2
KMLB	09/20/2024 02:50 UTC	78.8		75.2
KMLB	09/20/2024 02:53 UTC	78.08	75.02	75.02
KMLB	09/20/2024 02:55 UTC	77		75.2
KMLB	09/20/2024 03:00 UTC	77		75.2
KMLB	09/20/2024 03:05 UTC	77		75.2
KMLB	09/20/2024 03:10 UTC	77		75.2
KMLB	09/20/2024 03:15 UTC	77		75.2
KMLB	09/20/2024 03:20 UTC	77		75.2
KMLB	09/20/2024 03:25 UTC	77		75.2
KMLB	09/20/2024 03:30 UTC	77		75.2
KMLB	09/20/2024 03:35 UTC	77		75.2
KMLB	09/20/2024 03:40 UTC	77		75.2
KMLB	09/20/2024 03:45 UTC	77		75.2
KMLB	09/20/2024 03:50 UTC	78.8		75.2
KMLB	09/20/2024 03:53 UTC	78.08	75.02	75.02
KMLB	09/20/2024 03:55 UTC	77		75.2
KMLB	09/20/2024 04:00 UTC	77		75.2
KMLB	09/20/2024 04:05 UTC	78.8		75.2
KMLB	09/20/2024 04:10 UTC	78.8		73.4
KMLB	09/20/2024 04:15 UTC	77		73.4
KMLB	09/20/2024 04:20 UTC	77		73.4
KMLB	09/20/2024 04:25 UTC	77		73.4
KMLB	09/20/2024 04:30 UTC	77		75.2
KMLB	09/20/2024 04:35 UTC	77		75.2
KMLB	09/20/2024 04:40 UTC	77		75.2
KMLB	09/20/2024 04:45 UTC	77		75.2
KMLB	09/20/2024 04:50 UTC	77		75.2
KMLB	09/20/2024 04:53 UTC	77	73.94	73.94
KMLB	09/20/2024 04:55 UTC	77		73.4
KMLB	09/20/2024 05:00 UTC	77		73.4
KMLB	09/20/2024 05:05 UTC	75.2		73.4
KMLB	09/20/2024 05:10 UTC	75.2		73.4
KMLB	09/20/2024 05:15 UTC	75.2		73.4
KMLB	09/20/2024 05:20 UTC	75.2		73.4
KMLB	09/20/2024 05:25 UTC	75.2		73.4
KMLB	09/20/2024 05:30 UTC	75.2		75.2
KMLB	09/20/2024 05:35 UTC	75.2		75.2
KMLB	09/20/2024 05:40 UTC	75.2		75.2
KMLB	09/20/2024 05:45 UTC	75.2		75.2
KMLB	09/20/2024 05:50 UTC	75.2		73.4
KMLB	09/20/2024 05:53 UTC	75.92	73.94	73.94
KMLB	09/20/2024 05:55 UTC	75.2		73.4
KMLB	09/20/2024 06:00 UTC	75.2		73.4
KMLB	09/20/2024 06:05 UTC	75.2		73.4
KMLB	09/20/2024 06:10 UTC	75.2		73.4
KMLB	09/20/2024 06:15 UTC	75.2		73.4
KMLB	09/20/2024 06:20 UTC	75.2		73.4
KMLB	09/20/2024 06:25 UTC	75.2		73.4
KMLB	09/20/2024 06:30 UTC	75.2		73.4
KMLB	09/20/2024 06:35 UTC	75.2		73.4
KMLB	09/20/2024 06:40 UTC	75.2		73.4
KMLB	09/20/2024 06:45 UTC	75.2		73.4
KMLB	09/20/2024 06:50 UTC	75.2		73.4
KMLB	09/20/2024 06:53 UTC	75.92	73.04	73.04
KMLB	09/20/2024 06:55 UTC	75.2		73.4
KMLB	09/20/2024 07:00 UTC	75.2		73.4
KMLB	09/20/2024 07:05 UTC	75.2		73.4
KMLB	09/20/2024 07:10 UTC	75.2		73.4
KMLB	09/20/2024 07:15 UTC	75.2		73.4
KMLB	09/20/2024 07:20 UTC	75.2		73.4
KMLB	09/20/2024 07:25 UTC	75.2		73.4
KMLB	09/20/2024 07:30 UTC	75.2		73.4
KMLB	09/20/2024 07:35 UTC	75.2		73.4
KMLB	09/20/2024 07:40 UTC	75.2		73.4
KMLB	09/20/2024 07:45 UTC	75.2		73.4
KMLB	09/20/2024 07:50 UTC	75.2		73.4
KMLB	09/20/2024 07:53 UTC	75.02	73.94	73.94
KMLB	09/20/2024 07:55 UTC	75.2		73.4
KMLB	09/20/2024 08:00 UTC	75.2		73.4
KMLB	09/20/2024 08:05 UTC	75.2		73.4
KMLB	09/20/2024 08:10 UTC	75.2		73.4
KMLB	09/20/2024 08:15 UTC	75.2		73.4
KMLB	09/20/2024 08:20 UTC	75.2		73.4
KMLB	09/20/2024 08:25 UTC	75.2		73.4
KMLB	09/20/2024 08:30 UTC	75.2		73.4
